Pays	sélectionneur	nationalité	2000
Ghana	 Claude Le Roy	 France	 2008
Guinée	 Robert Nouzaret	 France	 2008
Maroc	 Henri Michel	 France	 2008
Namibie	 Arie Schans	 Pays-Bas	 2008
Benin	 Reinhard Fabisch	 Allemagne	 2008
Cote d'Ivoire	 Gerard Gili	 France	 2008
Mali	 Jean-François Jodar	 France	 2008
Nigeria	 Berti Vogts	 Allemagne	 2008
Cameroun	 Otto Pfister	 Allemagne	 2008
Egypte	 Hassan Shehata	 Egypte	 2008
Soudan	 Mohamed Abdallah	 Soudan	 2008
Zambie	 Patrick Phiri	 Zambie	 2008
Angola	 Oliveira Gonçalves	 Angola	 2008
Senegal	 Lamine Ndiaye	Senegal	 2008
Afrique du Sud	 Carlos Alberto Parreira	 Brésil	 2008
Tunisie	 Roger Lemerre	 France	 2008
Angola	 Manuel José de Jesus Silva	 Portugal	 2010
Mali	 Stephen Kashi	 Nigeria	 2010
Malawi	 Kinnah Phiri	 Malwi	 2010
Algérie	 Rabah Saadane	 Algérie	 2010
Cote d'Ivoire	 Vahid HalilHodzic	 Bosnie	 2010
Burkina Faso	 Paulo Duarte	 Portugal	 2010
Ghana	 Milovan Rajevac	 Serbie	 2010
Togo	 Hubert Velud	 France	 2010
Egypte	 Hassan Shehala	 Egypte	 2010
Nigergeria	 Shaibu Amodu	 Nigeria	 2010
Mozambique	 Mart Nooij	 Pays-Bas	 2010
Benin	 Michel Dussuyer	 France	 2010
Cameroun	 Paul Le Guen	 France	 2010
Gabon	 Alain Giresse	 France	 2010
Zambie	 Hervé Renard	 France	 2010
Tunisie	 Faouzi Benzarti	 Tunisie	 2010
Guinée Equatoriale	 Gilson Paulo	 Brésil	 2010
Libye	 Marcos Paqueta	 Brésil	 2012
Senegal	 Amara Traoré	 Senegal	 2012
Zambie	 Hervé Renard	 France	 2012
Angola	 Lito Vidigal	 Angola	 2012
Burkina Faso	 Paulo Duarte	 Portugal	 2012
Cote d'Ivoire	 François Zahoui	 Cote d'Ivoire	 2012
Soudan	 Mohamed Abdalla	 Soudan	 2012
Gabon	 Gernot Rohr	 Allemagne	 2012
Maroc	 Eric  Gerets	 Belgique	 2012
Niger	 Harouna Gadbe	 Niger	 2012
Tunisie	Sami Trabelsi	 Tunisie	 2012
Botswana	 Stanley Tshosane	 Botswana	 2012
Ghana	 Goran Stevanovic	 Serbie	 2012
Guinée	 Michel Dussuyer	 France	 2012
Mali	 Alain Giresse	 France	 2012
Afrique du Sud	 Gordon Igesund	 Afrique du Sud	 2013
Cap Vert	 Lucio Antunes	 Cap Vert	 2013
Angola	 Gustavo Ferrin	 Uruguay	 2013
Maroc	 Rachid Taoussi	 Maroc	 2013
Ghana	 James kwesi Appiah	 Ghana	 2013
Mali	 Patrice Carteron	 France	 2013
Niger	 Gernot Rohr	 Allemagne	 2013
RD Congo	 Claude Le Roy	 France	 2013
Zambie	 Hervé Renard	 France	 2013
Nigeria	 Stephen Keshi	 Nigeria	 2013
Burkina Faso	 Paul Put	 Belgique	 2013
